name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Austin,2025-07-12,92.9,78.1,84.2,100.8,78.1,88.6,72.8,70.3,0,0,0,rain,0,0,26.8,15.7,168.6,1014.5,48.6,9.8,312.3,27.2,9,75,2025-07-12T06:38:12,2025-07-12T20:35:11,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-07-13,83.9,71.9,77.8,91.1,71.9,78.9,72.4,83.9,0.166,100,12.5,rain,0,0,24.1,13.2,179.1,1015.6,55.1,9.9,314,27.3,9,60,2025-07-13T06:38:44,2025-07-13T20:34:53,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-07-14,93.8,74.9,82.5,99.9,74.9,86.1,71.9,72.8,0,0,0,rain,0,0,31.1,9.2,178.2,1016.1,42.1,9.8,315.9,27.4,9,75,2025-07-14T06:39:16,2025-07-14T20:34:33,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-07-15,92.9,78.1,84.6,99.8,78.1,88.5,72.6,69.4,0,0,0,,0,0,24.6,11.4,158.7,1015.1,53.4,9.9,316.5,27.4,9,75,2025-07-15T06:39:49,2025-07-15T20:34:12,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-07-16,95,79,85.2,99.3,79,88.3,70.9,65,0,0,0,,0,0,24.4,11.4,172.3,1013.1,38.7,9.9,321.5,28,9,60,2025-07-16T06:40:22,2025-07-16T20:33:49,0.71,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-07-17,95,74.9,84.2,97.6,74.9,86.2,69.4,64.7,0,0,0,rain,0,0,21.9,10.3,165.2,1014,27.4,9.9,318.9,27.4,9,10,2025-07-17T06:40:55,2025-07-17T20:33:25,0.75,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-07-18,95,73.9,84.9,102.5,73.9,88.5,70.5,64.9,0,0,0,,0,0,22,12.7,170.6,1015.8,5.6,9.9,313.6,27.2,9,30,2025-07-18T06:41:29,2025-07-18T20:32:59,0.78,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-07-19,90.1,78.2,83.6,99.4,78.2,88.2,73.2,72.1,0,0,0,,0,0,21.9,9.2,172.2,1016.7,27.5,9.9,302.9,26.3,9,60,2025-07-19T06:42:03,2025-07-19T20:32:32,0.82,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-07-20,89,79,82.8,98.2,79,87,72.9,73,0,0,0,,0,0,25.3,13.2,167.4,1016,25.9,9.9,135.6,11.7,5,75,2025-07-20T06:42:38,2025-07-20T20:32:04,0.85,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-07-21,91.1,77,84.1,98.7,77,88.2,72.5,70.1,0,0,0,rain,0,0,27.1,14.9,172,1015.1,26.7,9.9,221.8,19.2,10,75,2025-07-21T06:43:13,2025-07-21T20:31:34,0.89,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-07-22,96.2,77,85.8,100.8,77,88.9,70.7,63.9,0,0,0,,0,0,25.1,10.4,173.5,1014.4,34.4,9.9,292.4,25.5,9,60,2025-07-22T06:43:48,2025-07-22T20:31:03,0.93,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-07-23,98,75.8,86.6,102.6,75.8,90.3,71,63.3,0,0,0,rain,0,0,27.7,12.5,176.1,1015.5,25.2,9.9,306.8,26.5,9,60,2025-07-23T06:44:23,2025-07-23T20:30:30,0.96,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-07-24,98.9,75.8,87.2,102.3,75.8,89.4,68.7,59.2,0,0,0,rain,0,0,20.8,9.1,173.9,1015,16.3,9.9,307.5,26.6,9,30,2025-07-24T06:44:59,2025-07-24T20:29:56,0,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-07-25,89.8,74.8,82.6,94.8,74.8,85.9,70,66.7,0,0,0,,0,0,15.7,7.9,143.9,1013,2.3,9.9,275.5,23.8,9,10,2025-07-25T06:45:35,2025-07-25T20:29:21,0.03,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-07-26,94.9,76.9,82.6,100.8,76.9,85.9,71.5,70.3,0.371,100,4.17,rain,0,0,36.7,11.7,171.7,1014.3,31.2,9.9,151.3,13.3,5,30,2025-07-26T06:46:11,2025-07-26T20:28:44,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-07-27,96.1,78.2,83.5,101.2,78.2,87.2,72.7,72,0,0,0,rain,0,0,29.5,10.5,171.6,1018.3,43.3,9.9,301.8,25.8,9,60,2025-07-27T06:46:47,2025-07-27T20:28:06,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-07-28,96.2,76.9,85.7,102.9,76.9,88.6,70.9,65,0,0,0,,0,0,17.8,9.2,167.5,1020.2,30,9.8,304.2,26.3,9,60,2025-07-28T06:47:23,2025-07-28T20:27:27,0.13,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
